Date	14c	Ar39	CFC11	CFC12	CFC113	SF6	tritium	85Kr
1342.2	100	100	0	0	0	0	1.5	0
1342.3	100	100	0	0	0	0	1.5	0
1342.4	100	100	0	0	0	0	1.5	0
1342.5	100	100	0	0	0	0	1.5	0
1342.6	100	100	0	0	0	0	1.5	0
1342.7	100	100	0	0	0	0	1.5	0
1342.8	100	100	0	0	0	0	1.5	0
1342.9	100	100	0	0	0	0	1.5	0
1343	100	100	0	0	0	0	1.5	0
1343.1	100	100	0	0	0	0	1.5	0
1343.2	100	100	0	0	0	0	1.5	0
1343.3	100	100	0	0	0	0	1.5	0
1343.4	100	100	0	0	0	0	1.5	0
1343.5	100	100	0	0	0	0	1.5	0
1343.6	100	100	0	0	0	0	1.5	0
1343.7	100	100	0	0	0	0	1.5	0
1343.8	100	100	0	0	0	0	1.5	0
1343.9	100	100	0	0	0	0	1.5	0
1344	100	100	0	0	0	0	1.5	0
1344.1	100	100	0	0	0	0	1.5	0
1344.2	100	100	0	0	0	0	1.5	0
1344.3	100	100	0	0	0	0	1.5	0
1344.4	100	100	0	0	0	0	1.5	0
1344.5	100	100	0	0	0	0	1.5	0
1344.6	100	100	0	0	0	0	1.5	0
1344.7	100	100	0	0	0	0	1.5	0
1344.8	100	100	0	0	0	0	1.5	0
1344.9	100	100	0	0	0	0	1.5	0
1345	100	100	0	0	0	0	1.5	0
1345.1	100	100	0	0	0	0	1.5	0
1345.2	100	100	0	0	0	0	1.5	0
1345.3	100	100	0	0	0	0	1.5	0
1345.4	100	100	0	0	0	0	1.5	0
1345.5	100	100	0	0	0	0	1.5	0
1345.6	100	100	0	0	0	0	1.5	0
1345.7	100	100	0	0	0	0	1.5	0
1345.8	100	100	0	0	0	0	1.5	0
1345.9	100	100	0	0	0	0	1.5	0
1346	100	100	0	0	0	0	1.5	0
1346.1	100	100	0	0	0	0	1.5	0
1346.2	100	100	0	0	0	0	1.5	0
1346.3	100	100	0	0	0	0	1.5	0
1346.4	100	100	0	0	0	0	1.5	0
1346.5	100	100	0	0	0	0	1.5	0
1346.6	100	100	0	0	0	0	1.5	0
1346.7	100	100	0	0	0	0	1.5	0
1346.8	100	100	0	0	0	0	1.5	0
1346.9	100	100	0	0	0	0	1.5	0
1347	100	100	0	0	0	0	1.5	0
1347.1	100	100	0	0	0	0	1.5	0
1347.2	100	100	0	0	0	0	1.5	0
1347.3	100	100	0	0	0	0	1.5	0
1347.4	100	100	0	0	0	0	1.5	0
1347.5	100	100	0	0	0	0	1.5	0
1347.6	100	100	0	0	0	0	1.5	0
1347.7	100	100	0	0	0	0	1.5	0
1347.8	100	100	0	0	0	0	1.5	0
1347.9	100	100	0	0	0	0	1.5	0
1348	100	100	0	0	0	0	1.5	0
1348.1	100	100	0	0	0	0	1.5	0
1348.2	100	100	0	0	0	0	1.5	0
1348.3	100	100	0	0	0	0	1.5	0
1348.4	100	100	0	0	0	0	1.5	0
1348.5	100	100	0	0	0	0	1.5	0
1348.6	100	100	0	0	0	0	1.5	0
1348.7	100	100	0	0	0	0	1.5	0
1348.8	100	100	0	0	0	0	1.5	0
1348.9	100	100	0	0	0	0	1.5	0
1349	100	100	0	0	0	0	1.5	0
1349.1	100	100	0	0	0	0	1.5	0
1349.2	100	100	0	0	0	0	1.5	0
1349.3	100	100	0	0	0	0	1.5	0
1349.4	100	100	0	0	0	0	1.5	0
1349.5	100	100	0	0	0	0	1.5	0
1349.6	100	100	0	0	0	0	1.5	0
1349.7	100	100	0	0	0	0	1.5	0
1349.8	100	100	0	0	0	0	1.5	0
1349.9	100	100	0	0	0	0	1.5	0
1350	100	100	0	0	0	0	1.5	0
1350.1	100	100	0	0	0	0	1.5	0
1350.2	100	100	0	0	0	0	1.5	0
1350.3	100	100	0	0	0	0	1.5	0
1350.4	100	100	0	0	0	0	1.5	0
1350.5	100	100	0	0	0	0	1.5	0
1350.6	100	100	0	0	0	0	1.5	0
1350.7	100	100	0	0	0	0	1.5	0
1350.8	100	100	0	0	0	0	1.5	0
1350.9	100	100	0	0	0	0	1.5	0
1351	100	100	0	0	0	0	1.5	0
1351.1	100	100	0	0	0	0	1.5	0
1351.2	100	100	0	0	0	0	1.5	0
1351.3	100	100	0	0	0	0	1.5	0
1351.4	100	100	0	0	0	0	1.5	0
1351.5	100	100	0	0	0	0	1.5	0
1351.6	100	100	0	0	0	0	1.5	0
1351.7	100	100	0	0	0	0	1.5	0
1351.8	100	100	0	0	0	0	1.5	0
1351.9	100	100	0	0	0	0	1.5	0
1352	100	100	0	0	0	0	1.5	0
1352.1	100	100	0	0	0	0	1.5	0
1352.2	100	100	0	0	0	0	1.5	0
1352.3	100	100	0	0	0	0	1.5	0
1352.4	100	100	0	0	0	0	1.5	0
1352.5	100	100	0	0	0	0	1.5	0
1352.6	100	100	0	0	0	0	1.5	0
1352.7	100	100	0	0	0	0	1.5	0
1352.8	100	100	0	0	0	0	1.5	0
1352.9	100	100	0	0	0	0	1.5	0
1353	100	100	0	0	0	0	1.5	0
1353.1	100	100	0	0	0	0	1.5	0
1353.2	100	100	0	0	0	0	1.5	0
1353.3	100	100	0	0	0	0	1.5	0
1353.4	100	100	0	0	0	0	1.5	0
1353.5	100	100	0	0	0	0	1.5	0
1353.6	100	100	0	0	0	0	1.5	0
1353.7	100	100	0	0	0	0	1.5	0
1353.8	100	100	0	0	0	0	1.5	0
1353.9	100	100	0	0	0	0	1.5	0
1354	100	100	0	0	0	0	1.5	0
1354.1	100	100	0	0	0	0	1.5	0
1354.2	100	100	0	0	0	0	1.5	0
1354.3	100	100	0	0	0	0	1.5	0
1354.4	100	100	0	0	0	0	1.5	0
1354.5	100	100	0	0	0	0	1.5	0
1354.6	100	100	0	0	0	0	1.5	0
1354.7	100	100	0	0	0	0	1.5	0
1354.8	100	100	0	0	0	0	1.5	0
1354.9	100	100	0	0	0	0	1.5	0
1355	100	100	0	0	0	0	1.5	0
1355.1	100	100	0	0	0	0	1.5	0
1355.2	100	100	0	0	0	0	1.5	0
1355.3	100	100	0	0	0	0	1.5	0
1355.4	100	100	0	0	0	0	1.5	0
1355.5	100	100	0	0	0	0	1.5	0
1355.6	100	100	0	0	0	0	1.5	0
1355.7	100	100	0	0	0	0	1.5	0
1355.8	100	100	0	0	0	0	1.5	0
1355.9	100	100	0	0	0	0	1.5	0
1356	100	100	0	0	0	0	1.5	0
1356.1	100	100	0	0	0	0	1.5	0
1356.2	100	100	0	0	0	0	1.5	0
1356.3	100	100	0	0	0	0	1.5	0
1356.4	100	100	0	0	0	0	1.5	0
1356.5	100	100	0	0	0	0	1.5	0
1356.6	100	100	0	0	0	0	1.5	0
1356.7	100	100	0	0	0	0	1.5	0
1356.8	100	100	0	0	0	0	1.5	0
1356.9	100	100	0	0	0	0	1.5	0
1357	100	100	0	0	0	0	1.5	0
1357.1	100	100	0	0	0	0	1.5	0
1357.2	100	100	0	0	0	0	1.5	0
1357.3	100	100	0	0	0	0	1.5	0
1357.4	100	100	0	0	0	0	1.5	0
1357.5	100	100	0	0	0	0	1.5	0
1357.6	100	100	0	0	0	0	1.5	0
1357.7	100	100	0	0	0	0	1.5	0
1357.8	100	100	0	0	0	0	1.5	0
1357.9	100	100	0	0	0	0	1.5	0
1358	100	100	0	0	0	0	1.5	0
1358.1	100	100	0	0	0	0	1.5	0
